filename,title,year
e955cb47440b8635fd7859aa2188348d,(乾隆)永春州志16卷,1787
84135ea1fe3e7f4bc4c6abeb88225323,重修延安府志 80卷,1808
861f4acb086788091577b6431983c110,(乾隆)射洪縣志,1786
516a161aa065279ae40bb5185117bd80,(道光)寧國縣志,1825
fc37b622d878e614f2390d4296fc14e6,(乾隆)太原府志60卷,1783
49cbf854f1623aa26d67bd03f191e385,(乾隆)蒲城縣志,1782
68bc7414ad37394490c729213abd470f,(道光)河内縣志,1825
49798726abd2f95c799188b22b5a3837,(同治)續修鶴峰州志14卷,1867
86e7716d7e4884e7017bd30c9197aff0,繁昌縣志 18卷,1835
06cc491cee5f13cce5da6158940c725b,(道光)徽州府志16卷,1827
b67904f5684d16e748b2c5f16d7a4517,稷山縣志 10卷,1868
6e65b5e368fe7706de22979eae6cbe29,(光緒)嶧縣志,1875
32d2cd8482cc6e8ff9e1c92a8c51540e,弋陽縣志 14卷,1868
1bf0bfaa79e49a85455a488274622e01,西寧縣新志 10卷,1868
5b2c6de583790c5e6bffa9609112724b,吳堡縣志 4卷,1835
8712ea633f6d2f8d06d5678c315496fc,(同治)臨湘縣志,1838
19e38443dc98ef3a26b01932d9a36eb9,(同治)信豐縣志續編8卷,1870
4db60326215d6082bcb7a221a9fa5c64,內邱縣志 4卷,1835
cfb8bf9a2376b563a230737c67bfa7c6,(同治)太湖縣志,1872
7c749ed94ceafb010df9a5b198260e99,(同治)高縣志,1866
06dd8d3149ae82932b4e1a42b8d00897,安遠縣志 10卷,1868
89d6d02e9871cc7e9f4d04297b1f7bd5,(道光)招遠縣續志4卷,1846
256f2aaaf32fd9d32c05ca39b5539cb1,懷集縣志 10卷,1868
9e35da8f80a21cc1c199c4c787db8a90,(同治)咸豐縣志,1865
6c8a4d31dea6fdc90657f6e6cbbc78d3,滕縣志 14卷,1835
d24dc9c42793fd3ffe2a9ed02854d8b9,松滋縣志 12卷,1868
d7adf15811cd2f9f1c67798239243f03,荊門直隸州志 12卷,1868
cf541706d5491d84136c46d640f065d5,平江縣志 55卷,1868
4d113de71b5951461ec9d7b89d90866d,(同治)清河縣志再續編2卷,1873
