X,count,century,centurylabel,dynasty,dynstart,dynend,X1,X2,X3,X4,poly,weight,prediction,model,diff_abs,piotweight,piotweight_original
300,4555.07802570227,300,300–400,晋,265,420,101.608281665953,4057.93436684174,206.526730743333,189.00864645133,4453.4697440364,1.90793799855341,98681.7967127666,12527.7285100643,7972.65048436204,2.75027747919485,2.75027747919485
400,18052.0351596004,400,400–500,北魏,386,534,358.720019458448,16233.4626768804,590.840061660537,869.012401602161,17693.3151401431,0.481430840056341,111991.078578562,13309.2818657954,-4742.75329380501,0.737273207598273,0.737273207598273
500,17853.8642989195,500,500–600,南朝齐,479,502,661.356401432485,16002.9073150965,506.581101362133,683.019481027905,17192.5078974865,0.486774532734573,125864.927338054,13873.848759492,-3980.0155394275,0.777078201514707,0.777078201514707
600,14520.1071891647,600,600–700,隋,581,618,169.747430863024,12636.5792955994,744.943560666231,968.836902036027,14350.3597583017,0.598535970732939,140044.176517264,14179.24917921,-340.858009954711,0.976525103739656,0.976525103739656
700,14031.2911214241,700,700–800,唐,618,907,258.7740419033,12017.7317602772,1098.28261374825,656.502705495254,13772.5170795207,0.619387508704967,154245.746340784,14201.56982352,170.278702095926,1.01213564030725,1.01213564030725
800,13105.6860398972,800,800–900,唐,618,907,252.097600861384,11348.6922907812,912.444149157079,592.451999096996,12853.5884390352,0.663132507917242,168184.779151972,13939.032811188,833.346771290793,1.063586657635,1.063586657635
900,6667.80315932965,900,900–1000,唐,618,907,154.885051647919,5098.42424041863,869.23426646073,545.259600802309,6512.91810768166,1.30339877227071,181597.069015337,13412.289863365,6744.48670403535,2.01150057115864,2.01150057115864
1000,17319.2573967887,1000,1000–1100,宋,960,1279,359.118719479286,14700.7816361894,1247.09068223803,1012.26635888268,16960.1386773101,0.501800178408599,194258.129889276,12661.060873939,-4658.19652284971,0.731039477263417,0.731039477263417
1100,10158.0152820164,1100,1100–1200,宋,960,1279,211.082120037971,7947.51405896774,1161.53699017841,837.882112832055,9946.9331619782,0.855561466519851,205996.154827411,11738.024938135,1580.0096561186,1.1555431462006,1.1555431462006
1200,9353.04466152997,1200,1200–1300,金,1115,1234,192.467592931159,6556.81223246111,1402.88741154436,1200.87742459327,9160.57706859874,0.929195440214157,216697.655649642,10701.500822231,1348.45616070103,1.14417296286923,1.14417296286923
1300,10650.5859194016,1300,1300–1400,元,1234,1367,184.263570969505,7626.71011519144,1493.44183829682,1346.17039494381,10466.3223484321,0.815993271861357,226306.178754512,9608.52310486999,-1042.06281453161,0.90215910914034,0.90215910914034
1400,2731.3855485042,1400,1400–1500,明,1368,1644,49.491863505449,2034.05850742116,328.496955130765,319.338222446819,2681.89368499874,3.1818307219105,234815.681331482,8509.50257697,5778.1170284658,3.11545273483273,3.11545273483273
1500,8878.83819858238,1500,1500–1600,明,1368,1644,172.575866271198,6890.00730638846,973.184611929755,843.070413992673,8706.26233231089,0.978822482991143,242260.692770081,7445.011438599,-1433.82675998338,0.838511894471474,0.838511894471474
1600,10163.5632944704,1600,1600–1700,明,1368,1644,225.421183664915,7928.78784614456,888.990588143148,1120.36367651547,9938.14211080317,0.855094438811761,248705.323019355,6444.63024927402,-3718.93304519638,0.634091613595824,0.634091613595824
1700,10113.3712895512,1700,1700–1800,清,1644,1911,174.368960675591,7508.05794646001,1165.78520123238,1265.15918118256,9939.00232887494,0.859338216979343,254232.726368578,5527.40334922299,-4585.96794032821,0.546544094048413,0.546544094048413
1800,9211.28933180034,1800,1800–1900,清,1644,1911,135.327340211125,6960.2514731451,862.01066693952,1253.6998515026,9075.96199158722,0.943495111114309,258936.032177599,4703.305809021,-4507.98352277934,0.510602331508974,0.510602331508974
1900,3671.69417423341,1900,1900–2000,清,1644,1911,38.2991846487049,2689.91997233104,487.103268181898,456.371749071719,3633.39498958466,2.36697449166706,262911.20031331,3975.16813571102,303.473961477611,1.08265229811548,1.08265229811548
