"X","count","century","centurylabel","dynasty","dynstart","dynend","X1","X2","X3","X4","poly","weight","prediction","model","piotweight"
-100,12189.7942652125,-100,"-100–0","汉代",-206,220,790.606447936164,10178.104639985,484.068495752938,737.014681538169,11399.1878172761,0.728574826860528,48541.423034151,7662.82174983329,0.672225238557773
0,4551.34217023665,0,"0–100","汉代",-206,220,218.895816196768,4032.86750856607,73.9066460419551,225.67219943345,4332.44635404148,1.91696806183768,57280.5991276216,8739.17609347063,2.01714582924227
100,12524.7509346076,100,"100–200","东汉",25,220,1532.05767549597,9981.25692830638,378.449909714699,632.986421090632,10992.6932591117,0.755516513975186,67114.997788748,9834.39866112635,0.894630499488808
200,9535.15780363615,200,"200–300","东汉",25,220,198.834423077027,8623.50368746788,221.253899714128,491.565793378352,9336.32338056036,0.889553730284794,78016.8097726231,10901.8119838751,1.16767720434516
300,4555.07802570226,300,"300–400","晋",265,420,101.608281665953,4057.93436684174,206.526730743333,189.00864645133,4453.4697440364,1.86487430423075,89902.3963007345,11885.5865281114,2.66883738101675
400,18052.0351596004,400,"400–500","北魏",386,534,358.720019458448,16233.4626768804,590.840061660537,869.012401602161,17693.3151401431,0.469395431242821,102627.670350002,12725.2740492677,0.719213666205279
500,17853.8642989195,500,"500–600","南朝齐",479,502,661.356401432485,16002.9073150965,506.581101362133,683.019481027905,17192.5078974865,0.483068633142044,115990.155988999,13362.4856389971,0.777227250304224
600,14520.1071891647,600,"600–700","隋",581,618,169.747430863024,12636.5792955994,744.943560666231,968.836902036027,14350.3597583017,0.578742375118371,129738.907409205,13748.7514202055,0.958077125017847
700,14031.2911214241,700,"700–800","唐",618,907,258.7740419033,12017.7317602772,1098.28261374825,656.502705495254,13772.5170795207,0.603024214264518,143591.854470418,13852.947061213,1.00583988977671
800,13105.6860398972,800,"800–900","唐",618,907,252.097600861384,11348.6922907812,912.444149157079,592.451999096996,12853.5884390352,0.646135616502279,157258.306303755,13666.4518333368,1.06324019149648
900,6667.80315932965,900,"900–1000","唐",618,907,154.885051647919,5098.42424041863,869.23426646073,545.259600802309,6512.91810768166,1.27518282174116,170462.93438972,13204.628085966,2.02745188372502
1000,17319.2573967887,1000,"1000–1100","宋",960,1279,359.118719479286,14700.7816361894,1247.09068223803,1012.26635888268,16960.1386773101,0.489687109777796,182967.134304951,12504.1999152302,0.737269909942352
1100,10158.0152820164,1100,"1100–1200","宋",960,1279,211.082120037971,7947.51405896774,1161.53699017841,837.882112832055,9946.9331619782,0.834946928372736,194584.408207459,11617.273902508,1.16792519999175
1200,9353.04466152997,1200,"1200–1300","金",1115,1234,192.467592931159,6556.81223246111,1402.88741154436,1200.87742459327,9160.57706859874,0.906619880836067,205188.00884796,10603.6006405014,1.15752540053936
1300,10650.5859194016,1300,"1300–1400","元",1234,1367,184.263570969505,7626.71011519144,1493.44183829682,1346.17039494381,10466.3223484321,0.793512851394909,214710.919264999,9522.91041703912,0.909862136862782
1400,2731.3855485042,1400,"1400–1500","明",1368,1644,49.491863505449,2034.05850742116,328.496955130765,319.338222446819,2681.89368499874,3.09675261803918,223139.701071173,8428.78180617353,3.14284710587903
1500,8878.83819858238,1500,"1500–1600","明",1368,1644,172.575866271198,6890.00730638846,973.184611929755,843.070413992673,8706.26233231089,0.953929593816659,230504.490134412,7364.78906323962,0.845918579308969
1600,10163.5632944704,1600,"1600–1700","明",1368,1644,225.421183664915,7928.78784614456,888.990588143148,1120.36367651547,9938.14211080317,0.835685503158035,236867.448632562,6362.95849814912,0.64025634039106
1700,10113.3712895512,1700,"1700–1800","清",1644,1911,174.368960675591,7508.05794646001,1165.78520123238,1265.15918118256,9939.00232887494,0.835613174794649,242311.522510093,5444.07387753171,0.547748526199205
1800,9211.28933180034,1800,"1800–1900","清",1644,1911,135.327340211125,6960.25147314511,862.01066693952,1253.6998515026,9075.96199158723,0.915072286334043,246930.692500167,4619.16999007351,0.50894549738696
1900,4128.69417423341,1900,"1900–2000","清",1644,1911,47.2991846487049,3057.91997233103,530.10326818192,493.371749071718,4081.39498958467,2.03488300238438,250822.274838743,3891.58233857667,0.953493192525501
