"X","count","century","centurylabel","dynasty","dynstart","dynend","X1","X2","X3","X4","poly","weight","prediction","model","piotweight"
0,7139.6087696136,0,"0–100","汉代",-206,220,169.34599544647,6524.61988353461,166.820239355208,278.82265127746,6970.26277416728,1.22294583925533,84249.1702562804,11472.5200263088,1.60688356974632
100,17697.0149886133,100,"100–200","东汉",25,220,1364.28884820862,15175.2744972036,464.315926327195,693.135716865281,16332.7261403961,0.493380089485588,96675.378236479,12426.2079801986,0.702164064854664
200,12054.2517568039,200,"200–300","东汉",25,220,100.548805293176,11109.7182155566,290.914075741339,553.070660213789,11953.7029515118,0.724338184971247,109891.120604887,13215.7423684079,1.09635526410408
300,3407.75332695019,300,"300–400","晋",265,420,26.1315839836689,3014.39798199645,194.34665227777,172.877108692373,3381.62174296659,2.56220271862344,123676.504394784,13785.3837898968,4.04529978178739
400,18661.3474487478,400,"400–500","北魏",386,534,154.205356127516,17004.011013435,628.219084442084,874.91199474369,18507.1420926208,0.467884479547361,137768.126484131,14091.6220893476,0.75512350477635
500,17011.0717052097,500,"500–600","南朝齐",479,502,180.118096357227,15547.435388335,568.992776383327,714.525444133868,16830.9536088522,0.513274824186169,151878.054104102,14109.9276199703,0.829455537222215
600,12089.3908544964,600,"600–700","隋",581,618,95.7210049798934,10354.5538410082,754.593216284947,884.522792223352,11993.6698495165,0.722232819155018,165716.863028058,13838.8089239559,1.1447068831271
700,10214.1620194504,700,"700–800","唐",618,907,67.413448397117,8498.14547889302,1016.06659316929,632.536498990884,10146.7485710532,0.854828308194358,179016.928072951,13300.0650448931,1.30212003878207
800,10166.9460939677,800,"800–900","唐",618,907,75.4484610770111,8647.18791705929,873.314822597051,570.994893233709,10091.49763289,0.858798183644385,191552.089490676,12535.1614177255,1.23293281009555
900,8273.97389402953,900,"900–1000","唐",618,907,84.105075212276,6504.28031151793,1049.88604748471,635.702459816986,8189.86881881962,1.05527947640859,203150.8179605,11598.7284698237,1.40183285787176
1000,13161.8936706202,1000,"1000–1100","宋",960,1279,141.316194548048,11012.4616077361,1085.55880392861,922.557064407383,13020.5774760721,0.663381353566153,213701.6660893,10550.8481288,0.801620830014106
1100,7593.72817974186,1100,"1100–1200","宋",960,1279,64.1906874675777,5657.55095965091,1071.13621417074,800.85031845253,7529.53749227418,1.14981134852876,223151.509253939,9449.84316463891,1.24442736702753
1200,8317.19723936153,1200,"1200–1300","金",1115,1234,90.5240445218704,5631.52981405734,1404.1381979806,1191.00518280148,8226.67319483942,1.04979533218093,231498.318916275,8346.80966233625,1.00356038484149
1300,10714.1901553549,1300,"1300–1400","元",1234,1367,131.036665464832,7687.61906043575,1504.83511461458,1390.69931483985,10583.1534898902,0.81493371987111,238780.742839374,7282.42392309869,0.679698961611106
1400,3019.86222115665,1400,"1400–1500","明",1368,1644,59.060462168032,2301.1640732697,355.197654349218,304.440031369682,2960.8017589886,2.8913090065962,245066.655084534,6285.91224516038,2.08152285926236
1500,9405.32757796503,1500,"1500–1600","明",1368,1644,142.092382457343,7408.9737206297,1045.61347379869,808.648001079041,9263.23519550743,0.928341385914702,250442.326566652,5375.6714821182,0.57155600775803
1600,8189.79098867673,1600,"1600–1700","明",1368,1644,55.2444931705973,6235.31678402856,827.163917842144,1072.0657936355,8134.5464955062,1.0661266997878,255003.222271708,4560.89570505591,0.556900134736264
1700,6836.01688518876,1700,"1700–1800","清",1644,1911,25.8842589658396,4569.71519944126,1034.82014155485,1205.59728522693,6810.13262622304,1.27725764657305,258846.849586039,3843.6273143313,0.562261237630803
1800,4749.3527424539,1800,"1800–1900","清",1644,1911,14.8137236018003,2832.32460190235,719.178816477409,1183.03560047305,4734.53901885282,1.83843047930748,262067.65885607,3220.80927003047,0.678157518442469
1900,1941.97140883568,1900,"1900–2000","清",1644,1911,4.12207094073585,996.121578898141,417.201428321919,524.526330674877,1937.84933789494,4.49612944813886,264753.746719652,2686.08786358233,1.3831758033929
