"X","count","century","centurylabel","dynasty","dynstart","dynend","X1","X2","X3","X4","poly","weight","prediction","model","piotweight"
900,8276.24889918186,900,"900–1000","唐",618,907,85.2304670618058,6505.42992482074,1049.88604748471,635.702459816986,8191.01843212243,1.01612871479051,202799.046540573,11349.2604718131,1.37130487616619
1000,13171.8872965345,1000,"1000–1100","宋",960,1279,143.396340838539,11020.3750873599,1085.55880392861,922.557064407383,13028.4909556959,0.63884060407005,213070.986168412,10271.9396278391,0.779838104942001
1100,7596.8813294657,1100,"1100–1200","宋",960,1279,65.6303575675926,5659.26443927473,1071.13621417074,800.85031845253,7531.250971898,1.10514562100171,222224.634294918,9153.64812650648,1.20492182640824
1200,8047.66076459209,1200,"1200–1300","金",1115,1234,71.6827691910307,5398.83461461872,1386.1381979806,1191.00518280148,7975.9779954008,1.04352457304387,230269.557225153,8044.92293023478,0.999659797494279
1300,10102.3114823026,1300,"1300–1400","元",1234,1367,103.348674584621,7142.31243623454,1465.95105664356,1390.69931483985,9998.96280771795,0.832399239032425,237254.446275868,6984.88905071502,0.691414936368896
1400,2018.67666802769,1400,"1400–1500","明",1368,1644,19.4783365641672,1401.27500979459,293.483290299223,304.440031369682,1999.19833146349,4.16323328269541,243255.126049422,6000.67977355365,2.97258093313998
1500,6686.38123615359,1500,"1500–1600","明",1368,1644,55.2538264391732,4922.49446719838,899.984941436661,808.648001079041,6631.12740971409,1.25516047543668,248363.57980583,5108.45375640815,0.764008747928774
1600,8146.3615269407,1600,"1600–1700","明",1368,1644,91.3933136384033,6139.22702319999,843.675396466847,1072.0657936355,8054.96821330233,1.03329135657081,252678.888695267,4315.30888943651,0.529722241661559
1700,7498.83580666755,1700,"1700–1800","清",1644,1911,64.0600317804922,5155.88225954272,1073.2962301174,1205.59728522693,7434.77577488706,1.11948622046835,256300.390526364,3621.501831097,0.482941875841176
1800,6602.51936618225,1800,"1800–1900","清",1644,1911,41.1993267503843,4595.56043236798,782.724006591166,1183.03560047305,6561.3200394322,1.26851441207526,259322.959249687,3022.56872332384,0.45779020941692
1900,3954.56480878959,1900,"1900–2000","清",1644,1911,29.7166141027423,2839.42623860802,560.895625403947,524.526330674877,3924.84819468684,2.12062444695954,261834.085585388,2511.12633570054,0.634994356425566
