"X","count","century","centurylabel","dynasty","dynstart","dynend","X1","X2","X3","poly","weight","prediction","model","piotweight"
200,11501.1810965907,200,"200–300","东汉",25,220,100.548805293176,11109.7182155566,290.914075741339,11400.632291298,0.704586822614551,104112.824819471,12666.0924659563,1.10128623830737
300,3234.87621825785,300,"300–400","晋",265,420,26.1315839836689,3014.39798199645,194.34665227777,3208.74463427422,2.5050666852179,117288.194569859,13175.3697503881,4.07291310747083
400,17786.4354540045,400,"400–500","北魏",386,534,154.205356127516,17004.011013435,628.219084442084,17632.2300978771,0.455604534484561,130702.786866142,13414.5922962828,0.754203523857988
500,16296.5462610756,500,"500–600","南朝齐",479,502,180.118096357227,15547.435388335,568.992776383327,16116.4281647183,0.497257548644946,144066.26549093,13363.4786247883,0.820019064819091
600,11204.8680622731,600,"600–700","隋",581,618,95.7210049798934,10354.5538410082,754.593216284947,11109.1470572932,0.723219639903326,157092.672769995,13026.4072790642,1.16256677068107
700,9581.62552045939,700,"700–800","唐",618,907,67.413448397117,8498.14547889302,1016.06659316929,9514.21207206232,0.845741740569806,169524.311829218,12431.6390592237,1.29744572386791
800,9595.95120073296,800,"800–900","唐",618,907,75.4484610770111,8647.18791705929,873.314822597051,9520.50273965634,0.844479142885015,181150.748904432,11626.4370752136,1.21159818677752
900,7638.27143421491,900,"900–1000","唐",618,907,84.105075212276,6504.28031151793,1049.88604748471,7554.16635900263,1.06091812983526,191820.225127038,10669.4762226067,1.39684434030634
1000,12239.3366062128,1000,"1000–1100","宋",960,1279,141.316194548048,11012.4616077361,1085.55880392861,12098.0204116647,0.662093126930421,201442.74100648,9622.51587944163,0.786195869027506
1100,6792.8778612893,1100,"1100–1200","宋",960,1279,64.1906874675777,5657.5509596509,1071.13621417074,6728.68717382165,1.19295250270013,209985.898632567,8543.15762608728,1.25766395341396
1200,7126.19205655996,1200,"1200–1300","金",1115,1234,90.5240445218704,5631.52981405734,1404.1381979806,7035.66801203794,1.13715439898953,217465.727603276,7479.82897070865,1.04962494854782
1300,9323.49084051519,1300,"1300–1400","元",1234,1367,131.036665464832,7687.61906043575,1504.83511461458,9192.45417505033,0.86915735573497,223935.032576386,6469.30497311032,0.693871542727106
1400,2715.42218978696,1400,"1400–1500","明",1368,1644,59.060462168032,2301.1640732697,355.197654349218,2656.36172761892,2.98428018878242,229471.458935112,5536.42635872611,2.03888234380248
1500,8596.67957688587,1500,"1500–1600","明",1368,1644,142.092382457343,7408.9737206297,1045.61347379869,8454.58719442839,0.942640768762595,234166.796824901,4695.33788978856,0.546180399978271
1600,7117.72519504126,1600,"1600–1700","明",1368,1644,55.2444931705973,6235.31678402856,827.163917842144,7062.4807018707,1.13850709645365,238118.324613069,3951.52778816846,0.555167231086891
1700,5630.41959996188,1700,"1700–1800","清",1644,1911,25.8842589658396,4569.71519944126,1034.82014155485,5604.53534099611,1.43924986429364,241422.410709859,3304.08609678983,0.586827684532109
1800,3566.31714198159,1800,"1800–1900","清",1644,1911,14.8137236018003,2832.32460190235,719.178816477409,3551.50341837976,2.27225463203161,244170.211632782,2747.80092292262,0.770486979572384
1900,1417.44507816081,1900,"1900–2000","清",1644,1911,4.12207094073585,996.121578898141,417.201428321919,1413.32300722006,5.71703325230499,246445.109668207,2274.89803542537,1.60492852278773
